# Columns : X	Y	u	v
-30.000000	-15.000000	592.247142	797.874777
-15.000000	-15.000000	480.563051	800.113174
0.000000	-15.000000	369.029779	802.605572
15.000000	-15.000000	256.789346	805.467233
30.000000	-15.000000	145.498095	807.435248
45.000000	-15.000000	32.766873	810.022083
-90.000000	0.000000	1041.264488	691.006536
-75.000000	0.000000	930.346723	693.987875
-60.000000	0.000000	818.421735	695.934344
-45.000000	0.000000	705.191995	698.215231
-30.000000	0.000000	593.594062	701.318564
-15.000000	0.000000	481.158787	703.545931
0.000000	0.000000	367.610907	705.425791
15.000000	0.000000	255.538794	708.379420
30.000000	0.000000	142.530740	710.845399
45.000000	0.000000	29.650041	713.222444
-90.000000	15.000000	1045.446802	593.630105
-75.000000	15.000000	933.816826	595.507915
-60.000000	15.000000	820.370755	598.105461
-45.000000	15.000000	707.808904	600.768741
-30.000000	15.000000	594.129749	603.013031
-15.000000	15.000000	480.285505	605.054167
0.000000	15.000000	367.072598	607.409794
15.000000	15.000000	253.193597	610.006083
30.000000	15.000000	139.490793	612.472063
45.000000	15.000000	26.294417	615.424815
-90.000000	30.000000	1049.807958	493.831779
-75.000000	30.000000	936.293321	496.055402
-60.000000	30.000000	822.364905	498.394759
-45.000000	30.000000	708.402571	501.264484
-30.000000	30.000000	594.595305	502.652282
-15.000000	30.000000	480.172201	505.406479
0.000000	30.000000	366.184977	507.680489
15.000000	30.000000	251.430478	510.290482
30.000000	30.000000	136.993929	512.871308
45.000000	30.000000	22.250368	514.941087
-90.000000	45.000000	1054.636784	393.094886
-75.000000	45.000000	940.320738	395.185258
-60.000000	45.000000	825.827996	397.441517
-45.000000	45.000000	709.972074	399.043067
-30.000000	45.000000	595.956791	402.233671
-15.000000	45.000000	480.802243	404.372156
0.000000	45.000000	364.711384	406.842868
15.000000	45.000000	250.147875	409.145598
30.000000	45.000000	134.098459	411.001650
45.000000	45.000000	18.037970	413.879672
-90.000000	60.000000	1058.171238	289.949295
-75.000000	60.000000	943.896003	292.341775
-60.000000	60.000000	827.784059	293.902503
-45.000000	60.000000	711.810261	296.129826
-30.000000	60.000000	596.328895	299.251647
-15.000000	60.000000	480.560655	301.400662
0.000000	60.000000	363.745107	302.942547
15.000000	60.000000	248.055333	306.122413
30.000000	60.000000	130.977451	307.870133
45.000000	60.000000	15.000202	310.652226
-90.000000	75.000000	1063.037797	185.694812
-75.000000	75.000000	947.018127	187.298749
-60.000000	75.000000	830.679945	190.055669
-45.000000	75.000000	713.878617	191.884369
-30.000000	75.000000	597.156062	194.222893
-15.000000	75.000000	479.906467	196.357934
0.000000	75.000000	363.289449	198.290894
15.000000	75.000000	245.506050	200.962327
30.000000	75.000000	128.601669	203.554771
45.000000	75.000000	11.071548	205.338429
-90.000000	90.000000	1067.617604	79.173640
-75.000000	90.000000	950.208389	81.610581
-60.000000	90.000000	833.125823	84.214078
-45.000000	90.000000	716.118639	86.017302
-30.000000	90.000000	597.933700	88.128293
-15.000000	90.000000	479.888798	90.637508
0.000000	90.000000	362.264679	92.833898
15.000000	90.000000	243.648280	95.033635
30.000000	90.000000	124.881407	96.743192
45.000000	90.000000	6.830727	99.233183
-82.500000	-82.500000	966.826543	1211.985097
-67.500000	-82.500000	859.686174	1214.548864
-52.500000	-82.500000	752.367458	1217.954140
-37.500000	-82.500000	644.296204	1220.719176
-22.500000	-82.500000	535.787059	1222.668085
-7.500000	-82.500000	427.788635	1225.441928
7.500000	-82.500000	319.478609	1228.470180
22.500000	-82.500000	211.330260	1230.730645
37.500000	-82.500000	102.355392	1234.018370
-82.500000	-67.500000	970.294813	1122.220432
-67.500000	-67.500000	862.084208	1124.097029
-52.500000	-67.500000	754.146264	1127.281617
-37.500000	-67.500000	645.244271	1129.450077
-22.500000	-67.500000	535.706882	1132.248142
-7.500000	-67.500000	427.101301	1135.144653
7.500000	-67.500000	318.133353	1137.811544
22.500000	-67.500000	208.721434	1140.608021
37.500000	-67.500000	99.473885	1142.731013
-82.500000	-52.500000	973.948379	1030.310368
-67.500000	-52.500000	865.071734	1032.067486
-52.500000	-52.500000	756.060717	1035.372513
-37.500000	-52.500000	646.655509	1037.741066
-22.500000	-52.500000	536.366874	1039.961262
-7.500000	-52.500000	427.055263	1043.512958
7.500000	-52.500000	316.820636	1045.933385
22.500000	-52.500000	207.404421	1048.616560
37.500000	-52.500000	97.206994	1050.620082
-82.500000	-37.500000	978.262626	937.253187
-67.500000	-37.500000	867.878378	939.273343
-52.500000	-37.500000	757.990898	941.648544
-37.500000	-37.500000	647.659113	945.104650
-22.500000	-37.500000	536.463316	947.117508
-7.500000	-37.500000	426.275102	949.251187
7.500000	-37.500000	315.475492	952.072603
22.500000	-37.500000	204.536462	954.472415
37.500000	-37.500000	93.598836	957.739701
-82.500000	-22.500000	981.443036	842.449850
-67.500000	-22.500000	871.098128	845.294187
-52.500000	-22.500000	759.729531	846.973434
-37.500000	-22.500000	648.577457	850.139579
-22.500000	-22.500000	537.521785	852.250253
-7.500000	-22.500000	425.554893	854.868590
7.500000	-22.500000	314.327601	857.406423
22.500000	-22.500000	202.464017	859.809107
37.500000	-22.500000	90.720884	862.400275
-82.500000	-7.500000	985.292217	746.486976
-67.500000	-7.500000	874.234129	749.497843
-52.500000	-7.500000	761.725524	751.644076
-37.500000	-7.500000	649.586445	754.483221
-22.500000	-7.500000	537.731421	756.364052
-7.500000	-7.500000	424.995215	758.890033
7.500000	-7.500000	312.301461	761.409771
22.500000	-7.500000	200.150784	764.111535
37.500000	-7.500000	87.260413	767.001658
-82.500000	7.500000	989.383778	649.508342
-67.500000	7.500000	876.095088	652.199512
-52.500000	7.500000	763.204261	653.618216
-37.500000	7.500000	651.337551	656.401878
-22.500000	7.500000	537.574999	658.778914
-7.500000	7.500000	424.211461	661.216967
7.500000	7.500000	311.039876	663.314615
22.500000	7.500000	197.409134	666.143541
37.500000	7.500000	84.658921	669.377061
-82.500000	22.500000	993.146826	550.098513
-67.500000	22.500000	879.894824	553.286885
-52.500000	22.500000	766.071611	555.246085
-37.500000	22.500000	652.149842	557.529679
-22.500000	22.500000	538.363301	559.358264
-7.500000	22.500000	424.124735	562.252882
7.500000	22.500000	309.465408	564.437553
22.500000	22.500000	195.831275	566.806457
37.500000	22.500000	80.952937	569.331705
-82.500000	37.500000	996.851834	450.155913
-67.500000	37.500000	882.418654	452.162068
-52.500000	37.500000	768.005831	454.496836
-37.500000	37.500000	653.697819	456.416521
-22.500000	37.500000	538.761968	459.118490
-7.500000	37.500000	423.693515	461.216878
7.500000	37.500000	308.604386	464.062700
22.500000	37.500000	193.510145	465.959122
37.500000	37.500000	77.858771	469.178447
-82.500000	52.500000	999.993594	347.520633
-67.500000	52.500000	884.864368	350.109521
-52.500000	52.500000	769.687548	351.740119
-37.500000	52.500000	654.347337	354.817153
-22.500000	52.500000	538.421360	357.454515
-7.500000	52.500000	422.720304	359.312050
7.500000	52.500000	307.281439	361.683558
22.500000	52.500000	190.671238	364.182297
37.500000	52.500000	74.199222	366.558045
-82.500000	67.500000	1004.283400	244.384233
-67.500000	67.500000	888.172984	246.758838
-52.500000	67.500000	771.966233	248.838171
-37.500000	67.500000	655.694514	250.757119
-22.500000	67.500000	539.202821	252.902056
-7.500000	67.500000	422.853181	255.409703
7.500000	67.500000	305.884932	257.511374
22.500000	67.500000	188.832449	260.223324
37.500000	67.500000	71.633654	262.864194
-82.500000	82.500000	1008.290677	138.120657
-67.500000	82.500000	892.231269	140.532283
-52.500000	82.500000	774.118834	143.062707
-37.500000	82.500000	657.398132	145.067429
-22.500000	82.500000	539.576133	147.933369
-7.500000	82.500000	422.273713	149.570711
7.500000	82.500000	303.876666	152.174321
22.500000	82.500000	186.486926	154.126961
37.500000	82.500000	67.594990	156.347920
