# Columns : X	Y	u	v
-90.000000	-90.000000	1114.629439	1322.018219
-75.000000	-90.000000	990.602070	1321.317438
-60.000000	-90.000000	870.356554	1322.024356
-45.000000	-90.000000	747.497878	1320.606057
-30.000000	-90.000000	625.037491	1316.567388
-15.000000	-90.000000	501.935140	1319.287831
0.000000	-90.000000	380.264106	1317.804953
15.000000	-90.000000	256.979386	1317.628737
30.000000	-90.000000	133.962425	1316.619425
45.000000	-90.000000	11.368729	1315.961892
-90.000000	-75.000000	1108.552502	1208.840939
-75.000000	-75.000000	987.527274	1208.874584
-60.000000	-75.000000	866.116248	1207.509627
-45.000000	-75.000000	745.734512	1207.151126
-30.000000	-75.000000	624.416896	1206.068809
-15.000000	-75.000000	502.089731	1205.468698
0.000000	-75.000000	380.339669	1204.608927
15.000000	-75.000000	258.597489	1203.895925
30.000000	-75.000000	137.140275	1202.667559
45.000000	-75.000000	15.001451	1202.020938
-90.000000	-60.000000	1101.852843	1097.903276
-75.000000	-60.000000	983.259102	1097.798627
-60.000000	-60.000000	863.311315	1096.393014
-45.000000	-60.000000	742.743172	1095.892178
-30.000000	-60.000000	622.600167	1094.515004
-15.000000	-60.000000	502.724473	1094.502551
0.000000	-60.000000	381.899872	1092.965595
15.000000	-60.000000	261.400027	1092.817776
30.000000	-60.000000	140.461265	1091.666225
45.000000	-60.000000	19.130668	1090.589551
-90.000000	-45.000000	1096.959377	989.365956
-75.000000	-45.000000	978.425128	988.066548
-60.000000	-45.000000	858.940382	987.583794
-45.000000	-45.000000	740.285417	986.098444
-30.000000	-45.000000	621.275105	985.560591
-15.000000	-45.000000	502.197883	985.046685
0.000000	-45.000000	382.697950	983.627372
15.000000	-45.000000	262.982603	983.240467
30.000000	-45.000000	143.076787	982.494554
45.000000	-45.000000	23.076002	981.281799
-90.000000	-30.000000	1090.106339	881.954845
-75.000000	-30.000000	973.937045	881.597294
-60.000000	-30.000000	855.730820	880.016854
-45.000000	-30.000000	737.581731	879.230170
-30.000000	-30.000000	619.954071	878.198665
-15.000000	-30.000000	501.782405	877.154418
0.000000	-30.000000	383.629644	876.170023
15.000000	-30.000000	264.959659	875.043326
30.000000	-30.000000	145.977887	874.838398
45.000000	-30.000000	28.104573	873.715564
-90.000000	-15.000000	1084.746169	777.914853
-75.000000	-15.000000	968.558994	776.525009
-60.000000	-15.000000	852.734394	775.073994
-45.000000	-15.000000	735.381500	774.424950
-30.000000	-15.000000	618.772262	773.705738
-15.000000	-15.000000	501.205368	771.956972
0.000000	-15.000000	383.569311	771.236244
15.000000	-15.000000	266.861372	770.214267
30.000000	-15.000000	148.963298	769.025987
45.000000	-15.000000	31.148192	768.496641
-90.000000	0.000000	1079.825261	674.316352
-75.000000	0.000000	964.566082	673.124017
-60.000000	0.000000	849.156412	672.779574
-45.000000	0.000000	732.627252	671.142293
-30.000000	0.000000	617.636738	670.299894
-15.000000	0.000000	501.079093	668.990243
0.000000	0.000000	384.252660	667.364048
15.000000	0.000000	268.325992	666.569433
30.000000	0.000000	151.979365	665.932133
45.000000	0.000000	35.742159	664.301134
-90.000000	15.000000	1074.177457	572.828409
-75.000000	15.000000	960.093498	572.161312
-60.000000	15.000000	845.469626	570.968135
-45.000000	15.000000	730.466626	569.011864
-30.000000	15.000000	616.499955	568.349707
-15.000000	15.000000	500.680277	567.679929
0.000000	15.000000	385.361780	565.856567
15.000000	15.000000	270.333548	565.415115
30.000000	15.000000	154.758762	564.327326
45.000000	15.000000	39.249313	562.315422
-90.000000	30.000000	1068.052307	472.879223
-75.000000	30.000000	955.625791	471.841370
-60.000000	30.000000	842.183837	470.654706
-45.000000	30.000000	728.671044	470.254417
-30.000000	30.000000	614.634044	469.343871
-15.000000	30.000000	500.374147	467.082008
0.000000	30.000000	386.325288	466.174059
15.000000	30.000000	272.008312	464.850387
30.000000	30.000000	157.941455	463.853298
45.000000	30.000000	43.516158	463.081374
-90.000000	45.000000	1063.678671	375.333977
-75.000000	45.000000	951.299398	374.350421
-60.000000	45.000000	838.718007	373.585473
-45.000000	45.000000	726.011865	371.822516
-30.000000	45.000000	613.579559	370.901005
-15.000000	45.000000	500.758412	369.449817
0.000000	45.000000	386.843994	368.364961
15.000000	45.000000	274.466357	366.905453
30.000000	45.000000	160.086543	365.684225
45.000000	45.000000	47.299319	364.544295
-90.000000	60.000000	1058.206102	279.407519
-75.000000	60.000000	947.178929	279.016301
-60.000000	60.000000	835.799122	276.754216
-45.000000	60.000000	724.086358	276.522707
-30.000000	60.000000	612.514508	274.988479
-15.000000	60.000000	500.358654	272.977575
0.000000	60.000000	387.737278	272.140521
15.000000	60.000000	275.964390	270.369042
30.000000	60.000000	162.875231	269.533014
45.000000	60.000000	51.152177	268.375924
-90.000000	75.000000	1053.140113	185.771957
-75.000000	75.000000	942.693301	184.404234
-60.000000	75.000000	832.844947	182.899141
-45.000000	75.000000	721.555146	181.854379
-30.000000	75.000000	611.187895	180.023367
-15.000000	75.000000	500.242514	179.186279
0.000000	75.000000	388.807224	177.918314
15.000000	75.000000	277.727893	176.514364
30.000000	75.000000	166.263020	174.361498
45.000000	75.000000	54.925423	173.210958
-90.000000	90.000000	1048.149084	92.514569
-75.000000	90.000000	939.230018	91.168976
-60.000000	90.000000	829.025677	89.849556
-45.000000	90.000000	719.344016	88.308096
-30.000000	90.000000	609.632484	87.205398
-15.000000	90.000000	500.113361	86.124552
0.000000	90.000000	389.811084	84.766244
15.000000	90.000000	279.501667	83.387313
30.000000	90.000000	168.476455	81.290643
45.000000	90.000000	58.144688	80.007573
-82.500000	-82.500000	1051.688157	1259.825277
-67.500000	-82.500000	930.359597	1259.596947
-52.500000	-82.500000	808.083411	1258.839381
-37.500000	-82.500000	686.487330	1257.854217
-22.500000	-82.500000	564.692408	1256.848399
-7.500000	-82.500000	441.811154	1256.138167
7.500000	-82.500000	319.689186	1255.652442
22.500000	-82.500000	196.931700	1254.330832
37.500000	-82.500000	73.706881	1253.004018
-82.500000	-67.500000	1046.943589	1147.742135
-67.500000	-67.500000	925.469494	1146.473649
-52.500000	-67.500000	804.994443	1146.615247
-37.500000	-67.500000	684.979180	1145.224766
-22.500000	-67.500000	563.424694	1144.496131
-7.500000	-67.500000	441.940691	1143.489796
7.500000	-67.500000	321.091204	1142.351613
22.500000	-67.500000	198.997877	1141.589961
37.500000	-67.500000	77.857360	1141.185723
-82.500000	-52.500000	1040.910585	1037.922341
-67.500000	-52.500000	921.770682	1036.800867
-52.500000	-52.500000	802.250404	1035.737321
-37.500000	-52.500000	682.721740	1034.835287
-22.500000	-52.500000	562.811072	1034.353485
-7.500000	-52.500000	442.013751	1033.330357
7.500000	-52.500000	322.257591	1031.807595
22.500000	-52.500000	201.634891	1031.479255
37.500000	-52.500000	80.914213	1029.913396
-82.500000	-37.500000	1035.499465	929.896424
-67.500000	-37.500000	917.979765	928.562729
-52.500000	-37.500000	798.826823	927.209515
-37.500000	-37.500000	680.989859	926.859061
-22.500000	-37.500000	561.799452	925.638103
-7.500000	-37.500000	442.797199	924.390854
7.500000	-37.500000	323.797114	923.271264
22.500000	-37.500000	204.534107	922.436166
37.500000	-37.500000	84.405535	921.741428
-82.500000	-22.500000	1030.298666	823.033909
-67.500000	-22.500000	913.355790	822.829953
-52.500000	-22.500000	796.325660	821.515211
-37.500000	-22.500000	678.261126	820.202532
-22.500000	-22.500000	560.661373	819.730982
-7.500000	-22.500000	443.082798	818.192563
7.500000	-22.500000	324.648591	817.483199
22.500000	-22.500000	206.891470	816.157016
37.500000	-22.500000	88.048485	815.530810
-82.500000	-7.500000	1025.273720	719.089069
-67.500000	-7.500000	909.418760	717.960129
-52.500000	-7.500000	793.247271	717.573393
-37.500000	-7.500000	676.349405	716.074627
-22.500000	-7.500000	560.225701	714.225715
-7.500000	-7.500000	443.214869	713.925372
7.500000	-7.500000	325.670614	712.713853
22.500000	-7.500000	209.346263	712.055865
37.500000	-7.500000	91.775218	710.665264
-82.500000	7.500000	1020.490268	617.118632
